  16.0    54.573395     3.999547
  17.0   129.941345     4.867083
  18.0   125.309265     4.830785
  19.0   143.677185     4.967569
  20.0   179.045135     5.187638
  21.0   267.413055     5.588795
  22.0   256.781006     5.548223
  23.0   295.148926     5.687480
  24.0   371.516846     5.917594
  25.0   546.884766     6.304238
  26.0   528.252686     6.269575
  27.0   615.620667     6.422631
  28.0   723.988586     6.584775
  29.0   873.356567     6.772344
  30.0   886.724487     6.787534
  31.0   989.092407     6.896788
  32.0  1150.460327     7.047917
  33.0  1215.828247     7.103181
  34.0  1273.196167     7.149286
  35.0  1257.564087     7.136932
  36.0  1387.932129     7.235570
  37.0  1373.300049     7.224972
  38.0  1434.667969     7.268689
  39.0  1470.035889     7.293042
  40.0  1379.403809     7.229407
  41.0  1412.771729     7.253309
  42.0  1382.139648     7.231388
  43.0  1225.507568     7.111110
  44.0  1229.875488     7.114668
  45.0  1155.243408     7.052066
  46.0  1101.611328     7.004529
  47.0   999.979309     6.907734
  48.0   949.347290     6.855775
  49.0   825.715210     6.716250
  50.0   732.083130     6.595894
  51.0   621.451050     6.432057
  52.0   553.818970     6.316838
  53.0   504.186920     6.222947
  54.0   375.554871     5.928405
  55.0   353.922791     5.869079
  56.0   259.290710     5.557950
  57.0   253.658661     5.535989
  58.0   159.026596     5.069071
