  16.0     3.999547     4.261240
  17.0     4.867083     4.518167
  18.0     4.830785     4.763654
  19.0     4.967569     4.997697
  20.0     5.187638     5.220298
  21.0     5.588795     5.431455
  22.0     5.548223     5.631170
  23.0     5.687480     5.819444
  24.0     5.917594     5.996274
  25.0     6.304238     6.161662
  26.0     6.269575     6.315608
  27.0     6.422631     6.458112
  28.0     6.584775     6.589171
  29.0     6.772344     6.708790
  30.0     6.787534     6.816966
  31.0     6.896788     6.913698
  32.0     7.047917     6.998989
  33.0     7.103181     7.072838
  34.0     7.149286     7.135242
  35.0     7.136932     7.186206
  36.0     7.235570     7.225726
  37.0     7.224972     7.253805
  38.0     7.268689     7.270440
  39.0     7.293042     7.275633
  40.0     7.229407     7.269385
  41.0     7.253309     7.251693
  42.0     7.231388     7.222558
  43.0     7.111110     7.181983
  44.0     7.114668     7.129962
  45.0     7.052066     7.066500
  46.0     7.004529     6.991597
  47.0     6.907734     6.905250
  48.0     6.855775     6.807461
  49.0     6.716250     6.698230
  50.0     6.595894     6.577556
  51.0     6.432057     6.445440
  52.0     6.316838     6.301881
  53.0     6.222947     6.146879
  54.0     5.928405     5.980436
  55.0     5.869079     5.802549
  56.0     5.557950     5.613218
  57.0     5.535989     5.412447
  58.0     5.069071     5.200233
