1 337
2 338
3 344
4 363
5 334
6 362
7 340
8 346
9 317
10 338
11 326
12 355
13 320
14 364
15 374
16 382
17 455
18 448
19 464
20 497
21 583
22 570
23 606
24 680
25 853
26 832
27 917
28 1023
29 1170
30 1181
31 1281
32 1440
33 1503
34 1558
35 1540
36 1668
37 1651
38 1710
39 1743
40 1650
41 1681
42 1648
43 1489
44 1491
45 1414
46 1358
47 1254
48 1201
49 1075
50 979
51 866
52 796
53 744
54 613
55 589
56 492
57 484
58 387
59 358
60 293
61 272
62 268
63 243
64 212
65 198
66 207
67 168
68 167
69 179
70 159
71 154
72 135
73 160
