#energia_keV	cuentas	canal
87.0502	907	343
87.3376	880	344
87.6251	911	345
87.9125	793	346
88.1999	819	347
88.4874	803	348
88.7748	867	349
89.0622	890	350
89.3497	868	351
89.6371	880	352
89.9245	818	353
90.2119	935	354
90.4994	897	355
90.7868	861	356
91.0742	907	357
91.3617	883	358
91.6491	885	359
91.9365	877	360
92.2240	873	361
92.5114	874	362
92.7988	842	363
93.0862	862	364
93.3737	928	365
93.6611	899	366
93.9485	920	367
94.2360	904	368
94.5234	936	369
94.8108	904	370
95.0983	963	371
95.3857	935	372
95.6731	935	373
95.9605	828	374
96.2480	951	375
96.5354	916	376
96.8228	892	377
97.1103	990	378
97.3977	955	379
97.6851	958	380
97.9725	918	381
98.2600	966	382
98.5474	990	383
98.8348	931	384
99.1223	942	385
99.4097	892	386
99.6971	953	387
99.9846	918	388
100.2720	989	389
100.5594	1038	390
100.8468	1068	391
101.1343	1064	392
101.4217	1103	393
101.7091	1075	394
101.9966	1044	395
102.2840	996	396
102.5714	1060	397
102.8589	950	398
103.1463	973	399
103.4337	971	400
103.7211	999	401
104.0086	1016	402
104.2960	1078	403
104.5834	1057	404
104.8709	941	405
105.1583	987	406
105.4457	995	407
105.7332	890	408
106.0206	1009	409
106.3080	1005	410
106.5954	1024	411
106.8829	1073	412
107.1703	1020	413
107.4577	990	414
107.7452	989	415
108.0326	1016	416
108.3200	1066	417
108.6074	1004	418
108.8949	1054	419
109.1823	1061	420
109.4697	1005	421
109.7572	1086	422
110.0446	1065	423
110.3320	1050	424
110.6195	1104	425
110.9069	1041	426
111.1943	1046	427
111.4817	1030	428
111.7692	1086	429
112.0566	1102	430
112.3440	1126	431
112.6315	1094	432
112.9189	1120	433
113.2063	1063	434
113.4938	1085	435
113.7812	1004	436
114.0686	1072	437
114.3560	1107	438
114.6435	1100	439
114.9309	1163	440
115.2183	1117	441
115.5058	1166	442
115.7932	1099	443
116.0806	1074	444
116.3680	1098	445
116.6555	1143	446
116.9429	1127	447
117.2303	1139	448
117.5178	1147	449
117.8052	1140	450
118.0926	1219	451
118.3801	1161	452
118.6675	1109	453
118.9549	1161	454
119.2423	1103	455
119.5298	1123	456
119.8172	1131	457
120.1046	1101	458
120.3921	1179	459
120.6795	1157	460
120.9669	1154	461
121.2544	1099	462
121.5418	1207	463
121.8292	1102	464
122.1166	1137	465
122.4041	1149	466
122.6915	1131	467
122.9789	1146	468
123.2664	1202	469
123.5538	1225	470
123.8412	1173	471
124.1287	1112	472
124.4161	1177	473
124.7035	1177	474
124.9909	1169	475
125.2784	1123	476
125.5658	1098	477
125.8532	1220	478
126.1407	1207	479
126.4281	1211	480
126.7155	1177	481
127.0029	1213	482
127.2904	1221	483
127.5778	1130	484
127.8652	1187	485
128.1527	1176	486
128.4401	1184	487
128.7275	1241	488
129.0150	1199	489
129.3024	1198	490
129.5898	1228	491
129.8772	1239	492
130.1647	1194	493
130.4521	1183	494
130.7395	1202	495
131.0270	1205	496
131.3144	1158	497
131.6018	1253	498
131.8893	1213	499
132.1767	1189	500
132.4641	1194	501
132.7515	1154	502
133.0390	1241	503
133.3264	1233	504
133.6138	1191	505
133.9013	1220	506
134.1887	1209	507
134.4761	1246	508
134.7636	1186	509
135.0510	1280	510
135.3384	1270	511
135.6258	1198	512
135.9133	1265	513
136.2007	1260	514
136.4881	1184	515
136.7756	1265	516
137.0630	1245	517
137.3504	1193	518
137.6378	1201	519
137.9253	1229	520
138.2127	1224	521
138.5001	1159	522
138.7876	1217	523
139.0750	1226	524
139.3624	1233	525
139.6499	1239	526
139.9373	1196	527
140.2247	1190	528
140.5121	1286	529
140.7996	1281	530
141.0870	1258	531
141.3744	1233	532
141.6619	1208	533
141.9493	1301	534
142.2367	1240	535
142.5242	1226	536
142.8116	1222	537
143.0990	1197	538
143.3864	1273	539
143.6739	1251	540
143.9613	1229	541
144.2487	1254	542
144.5362	1243	543
144.8236	1181	544
145.1110	1234	545
145.3984	1265	546
145.6859	1165	547
145.9733	1334	548
146.2607	1202	549
146.5482	1293	550
146.8356	1144	551
147.1230	1305	552
147.4105	1210	553
147.6979	1209	554
147.9853	1162	555
148.2727	1239	556
148.5602	1251	557
148.8476	1226	558
149.1350	1277	559
149.4225	1218	560
149.7099	1229	561
149.9973	1243	562
150.2848	1266	563
150.5722	1212	564
150.8596	1286	565
151.1470	1181	566
151.4345	1332	567
151.7219	1246	568
152.0093	1210	569
152.2968	1208	570
152.5842	1241	571
152.8716	1208	572
153.1591	1190	573
153.4465	1176	574
153.7339	1243	575
154.0213	1257	576
154.3088	1211	577
154.5962	1294	578
154.8836	1272	579
155.1711	1223	580
155.4585	1210	581
155.7459	1196	582
156.0333	1253	583
156.3208	1250	584
156.6082	1223	585
156.8956	1226	586
157.1831	1228	587
157.4705	1237	588
157.7579	1196	589
158.0454	1244	590
158.3328	1195	591
158.6202	1252	592
158.9076	1247	593
159.1951	1198	594
159.4825	1197	595
159.7699	1192	596
160.0574	1192	597
160.3448	1201	598
160.6322	1187	599
160.9197	1218	600
161.2071	1125	601
161.4945	1210	602
161.7819	1177	603
162.0694	1170	604
162.3568	1211	605
162.6442	1166	606
162.9317	1216	607
163.2191	1222	608
163.5065	1211	609
163.7940	1274	610
164.0814	1277	611
164.3688	1211	612
164.6562	1254	613
164.9437	1172	614
165.2311	1227	615
165.5185	1245	616
165.8060	1255	617
166.0934	1209	618
166.3808	1160	619
166.6682	1205	620
166.9557	1157	621
167.2431	1167	622
167.5305	1226	623
167.8180	1160	624
168.1054	1156	625
168.3928	1190	626
168.6803	1247	627
168.9677	1234	628
169.2551	1236	629
169.5425	1187	630
169.8300	1189	631
170.1174	1164	632
170.4048	1198	633
170.6923	1158	634
170.9797	1199	635
171.2671	1166	636
171.5546	1235	637
171.8420	1199	638
172.1294	1161	639
172.4168	1163	640
172.7043	1148	641
172.9917	1237	642
173.2791	1157	643
173.5666	1141	644
173.8540	1117	645
174.1414	1173	646
174.4289	1209	647
174.7163	1194	648
175.0037	1194	649
175.2911	1214	650
175.5786	1215	651
175.8660	1185	652
176.1534	1148	653
176.4409	1190	654
176.7283	1119	655
177.0157	1152	656
177.3031	1188	657
177.5906	1166	658
177.8780	1130	659
178.1654	1159	660
178.4529	1167	661
178.7403	1175	662
179.0277	1171	663
179.3152	1120	664
179.6026	1146	665
179.8900	1182	666
180.1774	1153	667
180.4649	1171	668
180.7523	1180	669
181.0397	1132	670
181.3272	1121	671
181.6146	1106	672
181.9020	1098	673
182.1895	1124	674
182.4769	1200	675
182.7643	1160	676
183.0517	1208	677
183.3392	1136	678
183.6266	1110	679
183.9140	1194	680
184.2015	1113	681
184.4889	1139	682
184.7763	1195	683
185.0637	1145	684
185.3512	1136	685
185.6386	1116	686
185.9260	1115	687
186.2135	1115	688
186.5009	1127	689
186.7883	1117	690
187.0758	1108	691
187.3632	1097	692
187.6506	1157	693
187.9380	1061	694
188.2255	1156	695
188.5129	1182	696
188.8003	1117	697
189.0878	1132	698
189.3752	1081	699
189.6626	1086	700
189.9501	1123	701
190.2375	1110	702
190.5249	1198	703
190.8123	1069	704
191.0998	1093	705
191.3872	1113	706
191.6746	1066	707
191.9621	1134	708
192.2495	1102	709
192.5369	1138	710
192.8244	1030	711
193.1118	1023	712
193.3992	1110	713
193.6866	1102	714
193.9741	1132	715
194.2615	1140	716
194.5489	1108	717
194.8364	1067	718
195.1238	1074	719
195.4112	1079	720
195.6986	1026	721
195.9861	1059	722
196.2735	1063	723
196.5609	1075	724
196.8484	1093	725
197.1358	1038	726
197.4232	1049	727
197.7107	1064	728
197.9981	1099	729
198.2855	1099	730
198.5729	1077	731
198.8604	1020	732
199.1478	1088	733
199.4352	1052	734
199.7227	1106	735
200.0101	1082	736
200.2975	1081	737
200.5850	1029	738
200.8724	1104	739
201.1598	1040	740
201.4472	1094	741
201.7347	1058	742
202.0221	1053	743
202.3095	1026	744
202.5970	1031	745
202.8844	1054	746
203.1718	1079	747
203.4593	1023	748
203.7467	1025	749
204.0341	1064	750
204.3215	1036	751
204.6090	1031	752
204.8964	1033	753
205.1838	1058	754
205.4713	994	755
205.7587	1013	756
206.0461	1022	757
206.3335	1015	758
206.6210	1046	759
206.9084	1052	760
207.1958	1115	761
207.4833	1096	762
207.7707	1046	763
208.0581	1027	764
208.3456	1000	765
208.6330	1037	766
208.9204	1022	767
209.2078	1040	768
209.4953	1062	769
209.7827	1044	770
210.0701	1003	771
210.3576	1054	772
210.6450	966	773
210.9324	1009	774
211.2199	975	775
211.5073	1035	776
211.7947	1010	777
212.0821	1011	778
212.3696	1016	779
212.6570	1019	780
212.9444	1019	781
213.2319	1033	782
213.5193	993	783
213.8067	1009	784
214.0942	1048	785
214.3816	1113	786
214.6690	1095	787
214.9564	1087	788
215.2439	1080	789
215.5313	977	790
215.8187	953	791
216.1062	940	792
216.3936	955	793
216.6810	1004	794
216.9684	997	795
217.2559	933	796
217.5433	989	797
217.8307	956	798
218.1182	953	799
218.4056	933	800
218.6930	946	801
218.9805	933	802
219.2679	970	803
219.5553	986	804
219.8427	951	805
220.1302	898	806
220.4176	943	807
220.7050	931	808
220.9925	986	809
221.2799	924	810
221.5673	921	811
221.8548	938	812
222.1422	982	813
222.4296	1010	814
222.7170	909	815
223.0045	917	816
223.2919	932	817
223.5793	946	818
223.8668	916	819
224.1542	926	820
224.4416	943	821
224.7290	928	822
