#ch_global y_total y_bg y_gaussian
478.1206 1048.736231 248.999241 799.736990
478.4824 1014.342851 248.142502 766.200349
478.8442 980.257085 247.285762 732.971323
479.2060 946.562906 246.429022 700.133884
479.5678 913.338871 245.572283 667.766588
479.9296 880.657897 244.715543 635.942354
480.2915 848.587099 243.858804 604.728296
480.6533 817.187676 243.002064 574.185612
481.0151 786.514841 242.145325 544.369516
481.3769 756.617800 241.288585 515.329215
481.7387 727.539784 240.431845 487.107938
482.1005 699.318106 239.575106 459.743000
482.4623 671.984277 238.718366 433.265910
482.8241 645.564141 237.861627 407.702514
483.1859 620.078056 237.004887 383.073169
483.5477 595.541099 236.148147 359.392952
483.9095 571.963294 235.291408 336.671886
484.2714 549.349869 234.434668 314.915201
484.6332 527.701528 233.577929 294.123600
484.9950 507.014740 232.721189 274.293551
485.3568 487.282035 231.864450 255.417586
485.7186 468.492320 231.007710 237.484610
486.0804 450.631184 230.150970 220.480214
486.4422 433.681220 229.294231 204.386990
486.8040 417.622339 228.437491 189.184847
487.1658 402.432076 227.580752 174.851324
487.5276 388.085905 226.724012 161.361893
487.8894 374.557528 225.867273 148.690256
488.2513 361.819169 225.010533 136.808636
488.6131 349.841845 224.153793 125.688051
488.9749 338.595631 223.297054 115.298577
489.3367 328.049910 222.440314 105.609596
489.6985 318.173601 221.583575 96.590027
490.0603 308.935382 220.726835 88.208547
490.4221 300.303884 219.870095 80.433789
490.7839 292.247880 219.013356 73.234524
491.1457 284.736445 218.156616 66.579828
491.5075 277.739111 217.299877 60.439235
491.8693 271.225999 216.443137 54.782862
492.2312 265.167931 215.586398 49.581533
492.5930 259.536534 214.729658 44.806876
492.9548 254.304325 213.872918 40.431407
493.3166 249.444782 213.016179 36.428603
493.6784 244.932398 212.159439 32.772959
494.0402 240.742731 211.302700 29.440031
494.4020 236.852431 210.445960 26.406471
494.7638 233.239263 209.589221 23.650043
495.1256 229.882120 208.732481 21.149639
495.4874 226.761024 207.875741 18.885282
495.8492 223.857117 207.019002 16.838115
496.2111 221.152653 206.162262 14.990391
496.5729 218.630973 205.305523 13.325450
496.9347 216.276483 204.448783 11.827700
497.2965 214.074624 203.592044 10.482581
497.6583 212.011834 202.735304 9.276531
498.0201 210.075517 201.878564 8.196953
498.3819 208.253997 201.021825 7.232172
498.7437 206.536480 200.165085 6.371395
499.1055 204.913013 199.308346 5.604667
499.4673 203.374433 198.451606 4.922827
499.8291 201.912331 197.594866 4.317465
500.1910 200.519003 196.738127 3.780877
500.5528 199.187409 195.881387 3.306021
500.9146 197.911126 195.024648 2.886478
501.2764 196.684313 194.167908 2.516404
501.6382 195.501663 193.311169 2.190494
502.0000 194.358368 192.454429 1.903939
