   7.0    60.097046     4.095961
   8.0    69.796204     4.245580
   9.0   122.495369     4.808073
  10.0   195.194519     5.273997
  11.0   252.893692     5.532969
  12.0   346.592865     5.848151
  13.0   410.292023     6.016869
  14.0   467.991180     6.148449
  15.0   462.690338     6.137058
  16.0   477.389496     6.168333
  17.0   453.088684     6.116088
  18.0   392.787842     5.973269
  19.0   331.487000     5.803588
  20.0   213.186157     5.362166
  21.0   171.885315     5.146828
  22.0   108.584480     4.687529
  23.0    39.283646     3.670808
