0 122
1 89
2 97
3 88
4 118
5 109
6 125
7 167
8 177
9 230
10 303
11 361
12 455
13 519
14 577
15 572
16 587
17 563
18 503
19 442
20 324
21 283
22 220
23 151
24 109
25 111
26 84
27 103
28 107
29 113
30 151
