  -2.0     2.000000    11.050064
  -1.0     5.000000    11.072955
   0.0     5.000000    11.200497
   1.0     7.000000    11.472070
   2.0     6.000000    11.933020
   3.0     6.000000    12.631006
   4.0    13.000000    13.609999
   5.0    13.000000    14.902084
   6.0    10.000000    16.517876
   7.0    14.000000    18.437031
   8.0    11.000000    20.600924
   9.0    22.000000    22.909729
  10.0    30.000000    25.225744
  11.0    31.000000    27.383865
  12.0    21.000000    29.208624
  13.0    37.000000    30.535564
  14.0    28.000000    31.233459
  15.0    26.000000    31.223228
  16.0    45.000000    30.489746
  17.0    35.000000    29.084152
  18.0    32.000000    27.116127
  19.0    22.000000    24.737776
  20.0    17.000000    22.122381
  21.0    24.000000    19.442169
  22.0    10.000000    16.848930
  23.0     9.000000    14.460428
  24.0     9.000000    12.353867
  25.0     9.000000    10.566174
  26.0     4.000000     9.099615
  27.0     5.000000     7.930575
  28.0     1.000000     7.019325
  29.0     5.000000     6.318985
  30.0     6.000000     5.782577
  31.0     6.000000     5.367714
  32.0     1.000000     5.039076
  33.0     1.000000     4.769086
  34.0     1.000000     4.537410
  35.0     3.000000     4.329804
  36.0     2.000000     4.136756
  37.0     1.000000     3.952190
  38.0     1.000000     3.772389
