   6.0   196.346344     5.279880
   7.0   311.978058     5.742933
   8.0   551.609741     6.312841
   9.0   753.241455     6.624386
  10.0   900.873169     6.803364
  11.0  1147.504883     7.045345
  12.0  1323.136597     7.187760
  13.0  1485.768311     7.303687
  14.0  1627.400024     7.394739
  15.0  1557.031738     7.350536
  16.0  1426.663452     7.263094
  17.0  1214.295166     7.101919
  18.0  1049.926880     6.956476
  19.0   775.558533     6.653584
  20.0   547.190247     6.304797
  21.0   386.821960     5.957964
  22.0   192.453659     5.259855
