5176.0000 31.000000 104.498787
5177.0000 53.000000 112.163773
5178.0000 66.000000 128.038544
5179.0000 145.000000 157.988586
5180.0000 194.000000 210.041351
5181.0000 291.000000 293.637939
5182.0000 406.000000 417.632324
5183.0000 645.000000 587.003174
5184.0000 846.000000 798.931152
5185.0000 993.000000 1039.662354
5186.0000 1239.000000 1283.945923
5187.0000 1414.000000 1498.354858
5188.0000 1576.000000 1648.389160
5189.0000 1717.000000 1707.446411
5190.0000 1646.000000 1664.486816
5191.0000 1515.000000 1527.367188
5192.0000 1302.000000 1320.460205
5193.0000 1137.000000 1077.549438
5194.0000 862.000000 832.841309
5195.0000 633.000000 613.354492
5196.0000 472.000000 434.887543
5197.0000 277.000000 301.974518
5198.0000 167.000000 210.704514
5199.0000 82.000000 152.627686
5200.0000 72.000000 118.222778
5201.0000 49.000000 99.133545
5202.0000 37.000000 89.110382
