angulo,area,darea,n_cps,dn_cps,anisotropia,danisotropia,A,dA,sigma,dsigma,tiempo_vivo
22.5,10344.049072414606,165.23,0.04016373350267953,0.0006415528039542297,1.1202733432358438,0.02580996697469745,1122.639648,14.425,3.675871,0.03488,257547.0
45.0,6816.500813729067,132.89,0.03942407151871619,0.0007685856728088743,1.0996422033647515,0.028158414941679893,744.124512,11.759,3.654483,0.041724,172902.0
67.5,6858.045374540418,133.88,0.039873515942558904,0.0007783947207767668,1.1121784036476108,0.028501667445991714,727.536682,11.467,3.760586,0.043311,171995.0
90.0,9310.621667611184,154.58,0.03585172649620399,0.0005952298438956019,1.0,0.023479541997942808,978.937622,13.188,3.794318,0.03682,259698.0
112.5,6084.636907188847,127.18,0.0353338883370238,0.0007385426587071148,0.9855561165447634,0.026307714827675993,663.927063,11.176,3.656153,0.045301,172204.0
135.0,6742.534098208828,135.42,0.039051385387348564,0.0007843250819539204,1.0892469959984594,0.028383800620480237,705.942017,11.312,3.810344,0.046138,172658.0
157.5,9878.111216059911,161.29,0.03816123196289738,0.0006230973683803873,1.0644182496186878,0.024786292382048252,1086.543701,14.351,3.62691,0.034815,258852.0
180.0,5699.903785291224,116.69,0.03333959456784268,0.0006825373614482497,0.9299299594783171,0.024511346867805043,622.178223,10.552,3.654793,0.041903,170965.0
